institutionCode,catalogueNumber
MZUSP,97287
MZUSP,76792
MZUSP,86474
MCZ,173836
MZUSP,15953
MZUSP,44168
MZUSP,44172
MZUSP,44175
MCZ,173842
MCZ,173839
MZUSP,32025
MZUSP,58305
MCZ,22899
MZUSP,88718
MZUSP,28074
MZUSP,25098
MZUSP,25097
MZUSP,27273
MZUSP,31538
MZUSP,78299
MZUSP,92097
MZUSP,54851
MZUSP,26509
MZUSP,47736
MZUSP,12754
LSUMNS,44782
MZUSP,85909
FMNH,120080
FMNH,120078
MZUSP,106752
MCZ,143844
MCZ,143849
MZUSP,108264
MZUSP,108262
MZUSP,108265
FMNH,343774
MCZ,263813
MCZ,298303
FMNH,67503
AMNH,239986
FMNH,72262
MCZ,108293
FMNH,73768
